food_item,calories,protein,carbs,fats,saturated_fat,fiber,category,type
Vanilla Chocochips Muffin,329.29,4.48,40.13,15.46,7.14,4.0,REGULAR MENU,veg
Veg McMuffin,309.35,10.22,38.86,11.78,7.29,3.0,BREAKFAST MENU,veg
Double Cheese McMuffin,273.78,9.58,29.0,12.82,8.84,3.0,BREAKFAST MENU,veg
Spicy Egg McMuffin,278.27,11.49,31.37,11.81,3.43,2.0,BREAKFAST MENU,non-veg
Sausage Mc Muffin,281.44,16.25,28.62,10.81,6.04,3.0,BREAKFAST MENU,veg
Sausage Mc Muffin with egg,290.42,22.46,28.87,15.94,8.08,2.0,BREAKFAST MENU,non-veg
Egg McMuffin,283.46,14.05,28.12,12.31,6.92,3.0,BREAKFAST MENU,non-veg
Hot Cake with maple syrup,432.98,8.6,68.01,14.02,7.11,3.0,BREAKFAST MENU,veg
Hash Brown,140.29,1.93,15.63,7.32,3.42,2.0,BREAKFAST MENU,veg
Espresso,12.87,0.52,2.55,0.03,0.03,0.0,McCAFE MENU,veg
Espresso Machiato,44.98,2.09,4.97,2.02,1.49,1.0,McCAFE MENU,veg
Americano (S),12.87,0.52,2.55,0.03,0.03,0.0,McCAFE MENU,veg
Americano (R),23.07,0.94,4.57,0.05,0.05,0.0,McCAFE MENU,veg
Americano (L),26.71,1.09,5.3,0.06,0.06,0.0,McCAFE MENU,veg
Cappuccino (S),125.25,6.02,11.02,7.01,5.15,1.0,McCAFE MENU,veg
Cappuccino (R),183.61,8.79,16.67,10.02,7.37,1.0,McCAFE MENU,veg
Cappuccino (L),219.36,10.51,19.81,12.03,8.85,1.0,McCAFE MENU,veg
Latte (S),147.72,7.12,12.71,8.41,6.18,1.0,McCAFE MENU,veg
Latte (R),190.03,9.1,17.15,10.42,7.67,1.0,McCAFE MENU,veg
Latte (L),232.2,11.14,20.77,12.82,9.43,1.0,McCAFE MENU,veg
Flat White (S),166.99,8.06,14.16,9.6,7.06,1.0,McCAFE MENU,veg
Flat White (R),215.72,10.36,19.08,12.02,8.84,1.0,McCAFE MENU,veg
